"('this', 'is', 'a')",14062
"('on', 'the', 'finish')",10524
"('in', 'the', 'mouth')",8994
"('on', 'the', 'palate')",7633
"('the', 'wine', 'is')",7256
"('on', 'the', 'nose')",6931
"('the', 'palate', 'is')",6179
"('a', 'touch', 'of')",5641
"('a', 'hint', 'of')",4099
"('the', 'finish', 'is')",3437
"('the', 'mouth', 'with')",2841
"('this', 'wine', 'is')",2830
"('over', 'the', 'next')",2670
"('as', 'well', 'as')",2544
"('ready', 'to', 'drink')",2487
"('a', 'blend', 'of')",2453
"('it', 'has', 'a')",2390
"('the', 'tannins', 'are')",2349
"('aromas', 'and', 'flavors')",2264
"('with', 'aromas', 'of')",2212
"('a', 'wine', 'that')",2125
"('one', 'of', 'the')",2085
"('to', 'drink', 'now')",2053
"('the', 'mouthfeel', 'is')",1969
"('and', 'the', 'wine')",1966
"('with', 'flavors', 'of')",1963
"('and', 'a', 'touch')",1932
"('the', 'palate', 'with')",1919
"('and', 'spice', 'flavors')",1902
"('the', 'wine', 'has')",1847
"('the', 'nose', 'with')",1814
"('there', 'is', 'a')",1808
"('black', 'cherry', 'and')",1801
"('tannins', 'and', 'a')",1783
"('the', 'fruit', 'is')",1780
"('flavors', 'and', 'a')",1775
"('acidity', 'and', 'a')",1774
"('this', 'is', 'an')",1761
"('on', 'the', 'close')",1715
"('wine', 'with', 'a')",1669
"('the', 'flavors', 'are')",1647
"('a', 'bit', 'of')",1577
"('with', 'hints', 'of')",1535
"('the', 'nose', 'and')",1519
"('this', 'blend', 'of')",1513
"('with', 'notes', 'of')",1472
"('with', 'a', 'touch')",1466
"('while', 'the', 'palate')",1365
"('and', 'a', 'hint')",1317
"('the', 'nose', 'is')",1315
"('and', 'flavors', 'of')",1298
"('a', 'lot', 'of')",1279
"('wine', 'has', 'a')",1234
"('this', 'wine', 'has')",1185
"('and', 'the', 'finish')",1181
"('flavors', 'of', 'blackberries')",1164
"('in', 'the', 'glass')",1151
"('nose', 'of', 'this')",1147
"('wine', 'that', 'is')",1145
"('flavors', 'of', 'cherries')",1140
"('flavors', 'that', 'are')",1134
"('drink', 'now', 'through')",1127
"('cabernet', 'sauvignon', 'and')",1125
"('flavors', 'with', 'a')",1103
"('of', 'this', 'wine')",1100
"('of', 'black', 'cherry')",1098
"('and', 'cherry', 'flavors')",1097
"('the', 'nose', 'of')",1095
"('is', 'a', 'wine')",1078
"('in', 'the', 'cellar')",1073
"('this', 'is', 'the')",1054
"('the', 'mouth', 'and')",1040
"('and', 'black', 'cherry')",1017
"('while', 'the', 'finish')",1017
"('raspberry', 'and', 'cherry')",1009
"('with', 'a', 'hint')",1003
"('and', 'vanilla', 'flavors')",974
"('flavors', 'of', 'black')",972
"('and', 'a', 'bit')",963
"('the', 'finish', 'with')",962
"('is', 'one', 'of')",960
"('its', 'dry', 'and')",956
"('the', 'flavors', 'of')",955
"('with', 'plenty', 'of')",940
"('cherry', 'and', 'raspberry')",929
"('easy', 'to', 'drink')",921
"('fruit', 'and', 'a')",876
"('a', 'mix', 'of')",875
"('of', 'cabernet', 'sauvignon')",875
"('in', 'the', 'finish')",862
"('give', 'it', 'a')",857
"('opens', 'with', 'a')",852
"('blackberry', 'and', 'cherry')",848
"('the', 'acidity', 'is')",848
"('a', 'few', 'years')",846
"('is', 'a', 'bit')",840
"('flavors', 'of', 'blackberry')",835
"('a', 'whiff', 'of')",829
"('is', 'a', 'very')",826
"('green', 'apple', 'and')",817
